"table","operations","operationDate","currentUser"
"orders","insert","2021-03-16 10:38:54","root@localhost"
"orders","delete","2021-03-16 10:41:05","root@localhost"
"orders","update","2021-03-16 10:42:04","root@localhost"
"books","insert","2021-03-16 10:44:41","root@localhost"
"books","delete","2021-03-16 10:44:56","root@localhost"
"books","update","2021-03-16 10:45:07","root@localhost"
"books","insert","2021-03-16 10:57:37","root@localhost"
"books","insert","2021-03-16 12:08:37","root@localhost"
"orders","insert","2021-03-16 12:27:01","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:28:52","root@localhost"
"books","update","2021-03-17 14:38:17","root@localhost"
"orders","insert","2021-03-17 14:41:31","root@localhost"
"books","update","2021-03-17 14:41:54","root@localhost"
"orders","insert","2021-03-17 15:24:35","root@localhost"
"books","update","2021-03-17 15:25:37","root@localhost"
"books","update","2021-03-17 15:26:15","root@localhost"
"books","update","2021-03-17 16:44:53","task5@localhost"
